stem,label
ni error ap gmn dh,negatif
sedih ubun,negatif
niat scroll grabgojekshopee cari makan ujungujungnya mah beli makan deket kantor,negatif
lot bgt deh,negatif
bodoh hidup kmrn w ga double check alamat tau au alamat sapa dah mapsnya hahahaha rezeki bapa drivernya karna w malu kl nyuruh anterin k alamat yg bener,negatif
sih order yag nganterin ganteng nomor wa sih wkwkwk,positif
teh srius gaada yg in ya wkwkwkwkw laper tp gada uang anjrit bwt mkn elah,negatif
hotang yametekudasai lokasi gunung batu grab,positif
ga tau lokasi beli e wkwkwk,netral
mjb klo mesen nya delivery online kek ga si mesen kek gni,netral
laper buka eh tidur yaudah ilang lapernya wkwk,netral
liat history udah bulan ga mam seblak,negatif
ni enak sieh kek seger fruity fruity lgbt gadeng ni kek ya gatau bingung pokok buah buah bgt enak sih cream cheesenya jg enak bgt gak manis kayak banyak cream cheese gt stroberi beneran sizenya amp anjg rebu,positif
hebat gojek ah baca maps nya ga jago gw ngarahin lg,negatif
semenjak tau murah order situ,positif
tolong bantu admin,netral
haloo admin mohon maaf menganggu sy akun partner staff ubah akun partner admin dlu daftar partner mandiri login username yg kirim email,netral
kaaak cancel ucap gak ganti yg mon maap nih kota nggak,negatif
biasa banget beli makan minum ga bawa,negatif
mgkn lelah bestie blm disemangatin sm ayang,negatif
iyaaa mba atittude kerja ga blaaasssss,negatif
parah sih sampe pake bhasa jawa koyo chat ro koncone,negatif
pake si ijo tp krn lg promo pake sopifud deh banjir order jd galak takut wkwkwk,negatif
tetep percaya sm si ijo sih kalo,negatif
cobaaa gabisa,negatif
error ngelihhhhhhh,negatif
iyaa bener aja baca capee pantun wkwk drivernya,negatif
bisaaa nasgor yg sen sen trs lupa nama,negatif
terima kasih udah nemenin peejalanan gue bulan hasil lumayan ya gimana gagal haha yah barang gua simpen kenang an haha,positif
error gk sih gw dr td sen makan gk curiga gara td problem sm gw trus jdnya error pdhl salah drivernya nya yg gk pickup makan gw,negatif
kangen order gofood grabfood rumah pernahhh,positif
jam gin mo mager kamar trus buka pintu abis buka pagernya,positif
iyaaa beli besok aja deh udah malemmm,positif
beli ajaa murmer,positif
nerima gofood yangg,positif
gak ngajak nyari makan gitu wkwk btw makan malam enak nya ya,negatif
moots tolong check buka,netral
error ya gabisa buka,negatif
error yah chat driver kirim,negatif
bodoh,negatif
gajadi beli td tutup kyknya besok ato mingdep aja,negatif
hilang mood nak makan mcd tunggu jam,negatif
om om,netral
dah jam tunggu driver taknak reply chat pulaktu,negatif
kalo gaji udah cair gin bgt hahahahahqqq,positif
nih emang ngasi gimmick voucher rb tapiiii tapi vouchernya udah masuk biaya tangan k biaya resto jtu biaya k diskon ongkir tp k diskon udah masuk biaya dkk k,positif
gak ngantri gue beli pake,positif
gofood jarang dapet voucher kaya orangorang potong k,positif
gofood mahal bgt anjir,negatif
ga tau mahal ga murce kaya gofood murah,negatif
udh kenyang kak alhamdulillah,positif
krn promonya,positif
but yeah suka gila pakai grabfood sbb murahhhh nk compare dgn foodpanda nk try pulak sbb ramai ckp murahh,positif
voucher diskon restock ga kaya gofood jarang banget kalo ga diskon mehong,positif
eh tolong ya malem yg ngirimin martabak an bokap tp blm bayar elah kalo ngirimin makan tuh mbok yo dibayarin gitu lhoooo,negatif
cok iku sg narik bareng pacar e nggarai iri aeee,positif
edisi ibuk ga masak wkkwkw,positif
ku cek getcontact mas yg udah ku terima jam yll gada amp pesan sesuai chat tbtb nelfon an,positif
nama gak jal bm bgt wkwk,netral
anak wangsa yg jengkal rancaekek ngeliat homepage tpi gk liat shopeefoodnya,netral
knp si bayar muter trs pakesopipay,negatif
ken mie gaco bekas gabisa gofood,negatif
kemarin sen gitu kios barusan sen rumah eh driver nya pas dateng ngelitain gitu batine iki lak mbake sing wing wkwkwk,positif
bendino mikir mene masak opo yaa suami jwbannya konsistenterserah sampe akhire ae wis,positif
burger ni dgn rumah i beli kat voucher,positif
suka kaget driver profile dateng beda,negatif
ken garut blm huhu,negatif
shopeepay sih lg diskon lumayan hemat maksi kantor pegawai honorer sptku,positif
promo ntek ntekan tenan,negatif
lemes radue sangu ng solo,netral
ga yg gofoodin or shopeefoodin ya,netral
knp nangorr,negatif
ni order makan kat je voucher,positif
info gacor bwang,netral
timpang kakak beli macbook adeknya mesen cak dul pake promo sial sial,netral
aj bnyak,positif
gue jdi driver aja dah wkwkwkwk seru kli ya anter anter makan,positif
gw pgen sen via gofood ama tutup mulu sueeekkk dahh pdhl bom nyoba samsek gw males antri klo makan sana,negatif
menu halaman utama gambar sendok garpuu,positif
lumayan bgt beli kfc rban rban doang haha mamak senanggg,positif
gara abis input alamat kak gasadar kalo keset alamat utama kirim barang,negatif
nyarkas abangabang gimana dah wkwkwk,netral
ramah kantong ajar,negatif
do take away kalo ga gofoodgrabfoodshopeefood aja tinggal umrah kaya dont dine in crowded parahhh ngantrinya diri lamakalo udh sen nunggunya oiyaa org yg dine in mending kalo udh selesai makan langsung pergi deh,negatif
dar dah cover area jb,negatif
bales dm gw woyyyyyyyyy kemaren suruh dm udah dm kaga dibales ga customer dipecatin,negatif
terima kasih discount dah miskin,positif
abis wisuda pokok ken banget banget jajan sampe kenyang,positif
akhirakhir chat driver pending ya kasi drivernya,negatif
chat dr kemarin pending trs sih kasi drivernya jdinya,negatif
rebah ujung ga ngerjain apaapa laper sen makan rebah,netral
order aja,positif
sender this is a few tips hope it helps cari kos yg dapur biar masak kalo gabisaga sempet masak nanak nasi aja catat keluar no gofood kecuali promo kalo cari kos yg kulkas,netral
halo bestie usaha platform saing menang saing ojol kurir korban upah murah jamin sosial kompetisi serta usaha platform layan transportasi online gojek grab maxim,negatif
sebbaik bijak beli tealive kt gak murah je,positif
tawarin voc gofood prefer minbel ya,netral
cape banget sen abis chat driver force close aplikasi biar gak kirim status tolong dibenahin,negatif
lg knpsi,negatif
sial drmnaaa voucher banget sampe sisa jam lagi,negatif
sih,positif
driver nganter order bet,negatif
diskon nya gak anjir aja jatuh biaya layan bla bla bla nya,negatif
sih klw promo gede bngt aja,positif
woilaah promo kacaau bgtt enakk ygy,positif
yg ku alami,netral
cek aja,positif
udh beli roti bakar tbh makan malem nasi bakar ajaa,netral
knp ya habis nge rumah rumah temen alamat tuh kesimpen alamat utama kemaren co gasengaja kirim alamat temen skrng gasengaja alamat jual hiks hiks,negatif
parah bangeeeeet beli makan daerah bantul kecewa,negatif
gua dah,negatif
halo min cek dm yah kait daftar merchant makasih,netral
bingung duit pergi kmn amp nalangi bayar jajan mangan arekarek lali sopo ae sing titip tuku opo ae wkwkwkw ate nagih wes lupa ingat,negatif
me nabung sih ayo dhhh hemat hemat jajan cari kerja ayoww semangatt kejar cuan also me hahhhhhh xiboba buy get langsung buka,positif
order yuk diskon lho gofood amp grabfood amp ketik ayam bakar bakul mimi baik terima pesan nasi box paket jumat berkah min box kwetiau goreng k mie goreng k bihun goreng k nasifilet tongkol balado k hub,positif
nih pas nemenin nikmat reply tweet ya cuss rapat outlet marugame udon dekat pesan outlet delivery stopampgo gofood grabfood travelokaeats,positif
anjr gegara ajak ngobrol ga nyambung beli gapake promo,negatif
ga ganti alamat pas udah lanjur sen ya salah alamat antar hubungin cs jawab ga bantu untung driver nya maklum share alamt yg sesuai,negatif
kenapa lantan tkde,negatif
besok besok pake ya,positif
tau aja sen suruh nganter apartemen nemenin s teteh nya,netral
biasane wae ngopo nyebut gofood,negatif
notif yg aing tungguin tuh order suara speaker emergency gojek,netral
udah jam scroll tp gatau makan,negatif
pas briefing luhut ambil order,netral
gofood grab ndaaak,netral
yg tau gaa beli hojicha latte yg enak mana enak fore tp skrg udah gaada menu nya kenang skrg gaada kulo tp manis bgt gadoyan chatime atealier tp mahal storenya batas susah gograbshopeefood in,negatif
i suka coint,positif
rider malam gila like amah gila dah rider gitu hehe,positif
promo dehh,positif
gaenak ama abang tbtb ujannya deres zzz,negatif
sih cok,negatif
mitra hindar promo minimal order rb ngasih diskon harga rb,negatif
lot sih,negatif
salah sebab order sepi,negatif
paham tuh fokus e commerce nya ajaa timbang tuh,positif
trauma pempek beli kaya kecap kasih air,negatif
kurir driver santai urus google maps,positif
mesan yg nganterin mas grab,negatif
hello marrybrown bang bubur pedas asyik takde je ni dah minggu i cek takde punnnnnn,negatif
kalo bener album fisik gw gak order makan rehat dr dl,negatif
nasib mitra driver kena putus mitra kah,negatif
fess gess tuh fitur chatnya error kirim chat gapernah kirim tulis kirim,negatif
kayak yg tutup pay,negatif
,netral
banget kasi ultra milk,positif
senin males masak warteg jalan ninja ku,positif
ga,positif
gak tanggal kembar lohbbnrn suka iseng sen makan,positif
sumpah ayam geprek fragrant enak banget ga ngerti restoran logo voucher,positif
raja sam,netral
saldo spay,netral
provider wajib py solusi spt tdk lepas tangan aja,negatif
min daftar merchantnya error,negatif
km yg gofood,netral
sambut pagi cosplay,positif
enak ni,positif
gue renti sen dr skrg,negatif
ness ayam karamel mang udin ngga,netral
time takde kat jb nak discount starbucks eyy,netral
ni bongok eh dah pin location yg still ape benda,negatif
kali beli seblak pas bayar udah nyodorin uang dikacangin ama mbak nya layanin driver sih trus mas mas nunjukin kasir,negatif
promo nya ga seru anjir skrng biaya layan biaya restoran,negatif
tolong benerin fitur chat kak udah minggu ga chat driver repot telpon,negatif
mod ga yah,netral
nama ya kak ga nemu,netral
bener shopeepay tau ga indo ga kena layoff yg kena ga tau yg ngebacot aja kam,negatif
nangor gak sen emng kaga pilih ajaib senin sate ilang,negatif
udh d confirm wak wkwkwkw yg kmrin rumor layoff gtu klo gk salah w lupa,negatif
mending naspad porsi k tuku dewe opo nasi uduk porsi k,positif
balesin driver iya kak pesan sesuai,positif
hobi ku bangun jam gin order makan,positif
bener sektor shopeepay aja ga indo aja cmiiw,netral
mesen jam gin its disaster driver gue ilang gatau mana udah jam nunggu gue tidur order kagak dibatalin,negatif
makan enak nasi kulit bidadari ya nasi kulit malam minggu,positif
emang nomor ya,netral
moga gofood grabfood lu ngga promo beli tuh makan pake duit nipu,negatif
gak,negatif
cabang bisa sen,positif
loh driver resign ya kirain kaya ojol gitu kerja nya flexible gaada wajib jam kerja gaji nya dasar order,netral
cek sm grab hirr,positif
cabang jakarta yan sen grab amp gofood,positif
shopeepay amp yg kena itu yg indonesia do more research,negatif
ngetik udah baca berita nya yg india beda india kabar tutup operasi nya yg beda shopeepay tweetnya kayak epic comeback yah nampar,negatif
accidentally missing my peer support yg kalo jam gin laper semangat banget sen,netral
tante tu nda peser hidupin kuliah nda ngasi duit jajan ngasi duit kuliah nda tante yee protes kalo ngeliat ros mulut niii nda sinkron otak tante eee susah nihhh boleu tawak otak maki,negatif
masak sosis tok naget jak kamek tau nye tante eeee susah gak idup kamek niii kamek malas ribett ade gampang ngape susah susah masakk iye tante eeee susah nda pandai masak nii banding laaa anak orang tuu rumput tetangga goda,negatif
kamek pandai masak tanteee makenye kamek pade masakan kamek buang sia sia mending duitnye investasi tau bah kalo masak hemattt bah rasenyeeee masakan mamak makenye kamek malas kalo masak tuuuu,negatif
tante nda tau kamek pagi same siang tu makan ape biase kamek makan tok biase kamek belapar tante eeee ancorrrr tante niiii bise bisenyeee masalah kamek teross mane banding putri agik tuuu adoh nahhh kalah kamekkkkk,negatif
nda bah model badan dieeee turun orang tue dieee nurun mamak nye tuu kurusss tambah kamek niiii bengallll ngerokokkkk die kurus eeeee nda bah tante nii liat kamek truss nii pas malam jakk,negatif
ape yeee sakit mate tante niii liat nda bah kamek ni nda make duit tante niiii masalahnye cuman ngerepotkan tante ngambek makan driver jak bah maaf la kalo repot tante besok besok kalo ade bilang jak,negatif
aing laper tp gk voucher,negatif
jarene karo shopeepay ne meh bangkrut kih bro wkwkwk,negatif
nda habis thinking kooo bise tante nda ade peser ngidupek kuliah tibe tibe ngomongkan kisah tolen,negatif
gue enak,positif
nya udh tua anjirr yaallah emo nganter malem,negatif
emamg acu map nya ya udah sesuai titik drivernya marah gara gara dia salah gang yg laen asa nyampe aja sen makan,negatif
ih iya yaaa bakmie enakk gaada buka,negatif
anjirrr kesel bgt driver,negatif
sen gimana sih anjir,negatif
klo in bilang ajaaa,positif
iyaa kek tim aja deh gw mel,positif
wkwkwkw iya sihh bener,positif
si kalo jarang bgt dpt promo,positif
senam kasur abang dateng ya allah ngakak banget,positif
sampun basmi kang kale mangkane maen,positif
tolong bca sen hari bom makan nasi,netral
kalo yg baca shopeepay sm divisi aman,netral
gua ga buka jam gin,netral
voucher utk tu rm tau no min spend pastuu iolz g beli burger yee now dh mkn nk makan housemate beli makan dorg haahahaah,positif
gw wkt msh kuliah udh kerja d uber jd agent utk daftarin driver gaji cm umr trus masuk startup lg d grab gaji msh under jt next jt next trevo jt inti dalam kerja lo kerja gk nyari duit jg nyari ilmu nyari relasi,netral
halo yaa aplikasi driver baru yg versi garis mapsnya ga lokasi rumah cust driver lumayan sulit nih,negatif
yo kakak kakak buka kak,positif
eik asik saalh rumah je,negatif
alhamdulillah kasi rejeki allah terima jd driver yg udh daftarin rejeki ba only yaa k org rt doain hati moga order sfood ba lancar rame aamiin end besok yaaa,positif
bgt kena sial to the bone lampu kosan modar duit rebu ilang lupa pke voucher alhasil kena nasi padang rebu ban bocor magrib keluar duga pdhl dompet bener tip ikhlas tp ya allah,negatif
kesel laper tuh kali,negatif
males pesan dapet driver nganterin pesan aplikasi lainjadi nunggu drivernya selesain pesan ambil pesan adain fitur ganti driver drivernya jauh,negatif
nak butterciken line tunetalk dah nak masuk cel k nak topup ni eyyy tt,negatif
panggil hallo kak karamel ya driver,negatif
mah kalo kost do makan gitu grabfood eh abang nganter kost ganteng nggak ya nggak tau makseran suka suruh taruh gerbang makan ohalahhh,netral
iya bener bgtsaya kerja alhamdulillah phk ya josss,positif
sebenernya kl mesen gpp deh bgt tp kl org lai ga ketarketirgaenak bgt,netral
nemu martabak bangka rating ragu enak kaga ya huft,netral
login akun hp gakapa pake voucher guna yg uda checkout,netral
chat pending dah brengsek batal susah chatnya kirim,negatif
lg gacor ya kak,negatif
gw kerja d btw aman gw aman agent yg under gw jg aman kontrak cm gw emng tawarin sm usaha sih yg base nya d kampung halaman jd tarik krn kerja dkt keluarga,negatif
boros anj tp mo mager,negatif
wkkwk pake ap zenn foodgo nih,netral
jalan ninjaku,positif
amp shopeepay layoff asia tenggara kecuali indonesia,netral
wts shofood guna,netral
pake murah deh kalo jatinangor house,positif
klo nyampe k coba aja nderrr plg dapet k,positif
cok info camil sehat yg shopeefoodgrab,netral
ayam betutu tian pancoran sen kentel kuah sih,negatif
scroll gofood jam ujung nya gada yg beli,negatif
positive thinking aja jajan udah include makan siang,netral
deh ngirim chat driver kirim internet lancar kasi drivernya,positif
parah bangeeeeet beli makan daerah bantul kecewa,negatif
eh gokil ya diskon,positif
nyata ga indah imbas kena kaya,netral
gultik strategy marketing ga makesanse bgt aja launch kemarin guna,negatif
yah rang pegawai bidang shopeepay,negatif
mahal ya wkwk,negatif
maemunah phk lini shopeepay,negatif
aset kaya milik sea group indonesia nila triliun rupiahselain gerak bisnis ecommercesea group main bisnis perban bayar virtual kirim paket makan bas online pay,netral
mending nanya rekomendasi makan area jakbar enak akses ngirim preng,netral
dr mo order makan bayar gagal mulu bikin emosi,negatif
nak teh tarik mekdi ni nak jalan p mekdi taklarat pastu nak maleh,negatif
punya disk up to k syg bnget gabisa dipake,negatif
dear knp chat driver masuk chat balas kirim,negatif
mending aja voucher,positif
nder nya kaga gua ken anime,netral
aduh abang moga ga nyasar,positif
phk massal karyawan lini bisnis bayar virtual pay beli kirim makan fokus bisnis ecommerce,negatif
mitra bakar jaket,negatif
cm gofood bayar gopay cash kadang cm rebu grab gk bs order klo bayar cash gk promo gk tau,netral
pergi claim voucher,netral
paran tetangga gaboleh masukin temen pakek speda knalpot brong pdhl pas siang ga d rumah meanwhile order x knalpot brong smua takut d suudzoni,negatif
lu beli goldchick pake kadang total ga ngotak alias muraahhhh banged,positif
emang gitu harga up gede bgt ya drpd beli langsung tanoa aplikasi sebenernya ga rugi si seller dapet untung,positif
ja,positif
barusan beli telepon drivernya halo buk maaf telat nganternya ya motor tabrak orang resin me haduhh ya santai aja moga cepet beres gak parah rusak,negatif
tinggal gofood grab or kudu jalan,negatif
hayuk coba nyummy bgt dumpling keju chikuwa bola salmon stick kepiting dll seblak seafood gampang ditemuin klo pake go or,positif
pay sih ktanya napas besti,positif
ken telur dadar model warteg dayang sumbi buka nemu pizza flash sale abis makan pizza tetep ken dadare,positif
tim grabfood gofood grabfood,negatif
kalo kota ga gaco ga order ga sih,netral
ttapi mie gaco,positif
dok bukak fp afinah ni craving pisang cheese pulak,negatif
gofood dll btw,positif
tuh sih suka error maps nya kasi drivernya,negatif
biaya layan,netral
iya jd driver ambil pesan aja,netral
bingung mo dr td milih beli mie gelas d warung,negatif
min cek dm ya,netral
ugmfess guyss rekomenin makan yg murah enak daerah pogung gofoodshopeefoodgrabfood dongg makasii,netral
belek belek nak beli coffee but end up bancuh je minum,positif
ehh jujur takut banget chat mas mas,negatif
saran ramen gais yg enak murah ugmfess,netral
pagi jam order trus gara gara eh aku tidur bangun trus sadar klo tdi pagi sen makan woiii,negatif
beli makan harga rm pastu kejut rm off hiks besttt,positif
enak y diskon,positif
kasi driver yg ambil order tau ujan,negatif
nak bubur pedas marrybrown pstu add on sambal ngn ayam goreng nk nang la kt tkde,negatif
gais tau ga sih solusi biar co ga k aktivitas janggal w kaga ngapa in make,negatif
yg jual mana,netral
bismillahirohmanirohim dapet tv amiinn,netral
ah normal nar diskon kaya harga asli sd rb,netral
tolong saran jajan gofood grab,netral
daftar aja susah bener,negatif
kaya promonya gakan tp gpp udh puas promonya kalay diitung itung sen ku udh subsidi juta,positif
buka gofood grabfood tetep ujung ga yg beli dasar,negatif
driver status mitra karyawan karyawan yg kantor yg gaji pokok mitra ga gaji pokok,netral
sygggg,netral
sen gojek tp baju mas,negatif
daerah blm pake sygnya huhu tt,negatif
saran jajan bingung aksjsk,netral
klo kedai msh berat buka usaha rmh aja jd goreng rumah trus pasang banner jual kmu gtu klo mitra sm gograbshopee,netral
heboh u phk yg down sm shopeepay kali gausah bawa flexing hhhhhh,negatif
awkward bgt sen drivernya tetangga deket bgt tmptnya,negatif
mjb tpi ka jujur admn nya gede pake promo murah gofud grabfud kaget aja pas resto asli nya hargany k murah sdngkan gofud adm k an,netral
bener banget beli ayam geprek yg k k doang,positif
beli kak fell mumpung voucher potong,positif
ayo beli kak potong voucher,positif
driver bay garuk jua nih kepala ikam,netral
uishh sedap situ muiz try pulak kat grab,netral
gojek aman nder,netral
kerja masuk jam bangun tidur set siap sampe set jam sampe kantor sen sarap karyawan ga tau jam kerja,netral
promo laku grabfood gofood ya yuk langsung pesan kombo praktis kenyang,positif
diskon kakk minim beli k,positif
sumpah maps nya knp aneh deh kaya beda mulu,negatif
bekel tinggal sen,positif
informasi tambah promo laku jun promo laku dinein takeaway one stop cj amp drive thru online delivery gofoodgrabfoodshopeefoodtravelokaeats,positif
alas gw gamti kiblat,positif
enak nasiikan sarden nder,positif
karma is rill minggu gue ngeledekin anak pkl yg salah ambil sen grabfood karyawan divisi multimedia eh gue yg salah ambil sen anak divisi programmer,negatif
jd driver mahal bgt anjir,negatif
kalo ongkirnya murah kah maap nimbrung,netral
