id,created_at,text,label
1537437621072240000,16/06/22 21.11,@shiikaaas Ada fitur baru selain Shopee food,netral
1537437256897920000,16/06/22 21.09,LAGI SHOPEEFOOD BOBA SAMA TOAST BUAT NEMENIN NONTON LIVE NYA LIX EHEHE,positif
1537436264462370000,16/06/22 21.05,ada yang punya promoan shopeefood/gofood gasiiii,netral
1537434830400410000,16/06/22 21.00,"Sehari pendapatan jadi Driver @shopeefood_id @ShopeeID 2 orderan dikali Rp. 9.600. Cuma dapat Rp. 19.200.
Sedangkan pengeluaran dalam sehari, Bensin 20 rb, makan 2 x 15 rb rokok 10 rb.
Kebutuhan dapur 50 rb.

Saran dan solusinya bagaimana nih, @shopeefood_id @ShopeeID ?",negatif
1537433035335150000,16/06/22 20.52,"Kalo gofood/shopeefood/grabfood suka pesen juga penyetan sego wader, daerah gubeng kertajaya kalo ga salah. Yg pesennya kudu 1 jam sebelum jam2 lapar, biar ga mati kelaparan __ Tp sambelnya enak seger, cuman nasinya emanh dikit untuk ukuran penyetan __",negatif
1537432963910030000,16/06/22 20.52,"@dwstwt Lumayan banyak jg nampaknya kak di bandung klo diliat di shopeefood, mungkin di jatinangornya kali yah yg cuma satu outlet? __",negatif
1537432569200780000,16/06/22 20.51,Bilamana hang lupa tukaq alamat shopee hang .. disebabkan shopee food .. __________ .. jangan cari aku kat tempat reja aku eh ..,negatif
1537432395745740000,16/06/22 20.50,@txtestetik Maunya shopee food,netral
1537428702900140000,16/06/22 20.35,"Hallo @ShopeeID @shopeefood_id daftar jadi akun Driver VVIP dong, perbulannya berapa? biar mudah dapet orderan. Udah gak sanggup nih sehari cuma dapet 2 orderan doang.",negatif
1537428359353090000,16/06/22 20.34,Rekomen makanan murmer di shopee food sekitar gerlong dong__,positif
1537426659397190000,16/06/22 20.27,shopeefood drivernya emang pada muda-muda yaw wkwk,positif
1537425583491420000,16/06/22 20.23,Ini shopeefood entah mapnya/drivernya yang aneh banget jelas2 udah sesuai titik malah drivernya pergi ke belakang__,negatif
1537424396557530000,16/06/22 20.18,Keluarga bulek di semarang. Bulek guru sdia sering jajan onlen kek aku. Kalo kesana mesti ditawari meh order shopeefood apa. Ya gini nih punya bulek yg gawl. Beda umur 10th nan,positif
1537424159533200000,16/06/22 20.17,"Jadi kan gini, si guwe tuh pesen shopeefood kan ya nah terus saat bersamaan tuh ada grab juga dateng.
Terus kan aku fokusnya sama si bapak jaket shopeefood ya ngambil dah tuh aku pas sadar loh kok gini bungkusnya biasanya juga gak gini gitu kan ya kreseknya. .",negatif
1537423069597220000,16/06/22 20.13,@cintai__ Asiappp. fix penggemar berat jajan ShopeeFood niih. aku pasti catet nih jawaban kamuu __ ^TG,positif
1537421739054890000,16/06/22 20.08,"@shopeefood_id Bener min.. yg salah, makan mie sukses pas lagi susah",netral
1537421446783220000,16/06/22 20.06,Sekarang lebih suka shopeefood daripada gofood __ banyak diskonannya,positif
1537420422030890000,16/06/22 20.02,aelahhhhhh shopeefood mahal amat dah sekarang :),negatif
1537419500332930000,16/06/22 19.59,"@yourlovelyb0y Menurutku gitu, barusan order via shopeefood porsinya lumayan banyak dari biasanya",positif
1537416139008990000,16/06/22 19.45,"Ada yang bisa co-in di shopeefood ngga? Shopeefood ku lagi error soalnya, drop fee langsung #zonauang #zonaba #zonaBU",negatif
1537415627669120000,16/06/22 19.43,-ness saran menu katsukai dong mau shopeefood nih,netral
1537415342737140000,16/06/22 19.42,@cordvroyy itu nanti kamu pesenin barang kaa/makanan kalo shopeefood ada fee nyaa,netral
1537412425640690000,16/06/22 19.31,"Shopeefood gofood: mahal
Makan keluar: udah skin care-an
Bingung brow __",negatif
1537411826312710000,16/06/22 19.28,@itaeguns2 @i_m_mortal_ mending nyari aman aja kak 1 akun 1 hp jangan diutak atik. voc shopeefood kan lumayan bgt:(,positif
1537409993011790000,16/06/22 19.21,@itaeguns2 @i_m_mortal_ jangan kak. aku pernah gitu dan sekarang akun yg aku pindahin ke hp lain malah gabisa share link shopeefood dll__,negatif
1537407493441470000,16/06/22 19.11,banyak ingin tp tida bisa shopee food huah,negatif
1537405955914470000,16/06/22 19.05,"@ShopeeCare __ Jajan ShopeeFood
Langsung telaktir keluarga __
#Shopeecare",positif
1537405623700060000,16/06/22 19.03,@ShopeeCare Jajan shopeefood udah pasti dong,positif
1537404625107600000,16/06/22 19.00,"Sobat Shopee! Mimin kepo nih, kalau misalnya kalian dapet ShopeePay 100RB dari Mimin, mau kalian pake untuk apa? Yuk pilih jawaban kamu!
 
__ Jajan ShopeeFood
__ Checkout Wishlist 
 
#Shopeecare",netral
1537403557443380000,16/06/22 18.55,untung aku akhir_ ini ordernya kalo gak di grabfood ya di shopeefood,netral
1537402763877170000,16/06/22 18.52,punten bakso yg enak di sekitar dramga dimana yaa? yg ada di shopeefood atau gofood kalo bisa makasii,netral
1537401832901080000,16/06/22 18.48,Lapar. Berujung cuma scrol menu di shopeefood,negatif
1537401473809520000,16/06/22 18.47,"Lagi diluar kota lapar, bisa-bisanya pesen shopee food malah salah alamat wkwkwk",negatif
1537401083089520000,16/06/22 18.45,@aahmegitsune @shopeefood_id Tau g jls bgt sopi,negatif
1537399958864690000,16/06/22 18.41,@GAHunterFess dana nder __ kalo spay pasti abis mulu buat shopeefood,negatif
1537399695840260000,16/06/22 18.40,"Ketemu Kang shopee food neduh di bawah pohon pas lampu merah sunset road, katanya 

šsepi banget bli, hari ini baru 2 orderan masukš",negatif
1537396515672830000,16/06/22 18.27,baru kali ini jengkel banget sama shopeefood astagaaa,negatif
1537393565743330000,16/06/22 18.16,@collegemenfess gatau ya nder aku sebungkus buat makan 3 harian. selang seling sama telor dan shopeefood jg sih__,netral
1537393361631740000,16/06/22 18.15,"Aku la.. sejak pandai pakai shopee food, memanjang je guna tu.. tak pandang dah grabfood dgn foodpanda__

Tak boleh jadi nie.. esok kena masak__ habis duit ku kalau begini terus__",netral
1537392054803660000,16/06/22 18.10,Mau Shopee food maju mundur dah duit tinggal 160rb harus nunggu 14 hari lagi mau makan enak. efek Konser konser bertebaran,negatif
1537390691990450000,16/06/22 18.04,@FOOD_FESS gara-gara ini gue lgsg melipir ke shopeefood lalu order __,positif
1537389885958800000,16/06/22 18.01,eh shopeefood bisa double order gitu ga si? atau harus nyelesaiin pesenan 1 baru bisa pesen lagi?,netral
1537384582970230000,16/06/22 17.40,"dikasih tau ada rapat ________ gapunya duit. 
dikabarin rapat online ________ beli camilan apa ya? *scroll shopee food.
emang ya, jangan percaya manusia____",netral
1537383603440450000,16/06/22 17.36,@sbyfess Coba deh daftar shopee food gojek grab itu opsi lain buat nambah penghasilan. Cowok cewek pun bisa.,netral
1537381803547240000,16/06/22 17.29,"Ngapa ya kalo chat driver shopeefood beberapa hari terakhir ini ga pernah kekirim, mesti pending",negatif
1537381257222290000,16/06/22 17.27,@MBNug24 godaan Shopeefood lebih kejam,negatif
1537374420053860000,16/06/22 16.59,@SelenaGemush @tanyakanrl nah alhasil aku pindah haluan ke shopeefood :),positif
1537374331235230000,16/06/22 16.59,ngiler ak liat shopeefood tp udah masak ______,netral
1537372043766690000,16/06/22 16.50,Shopee food sekarang sudah tidak semurah dulu,negatif
1537370731767400000,16/06/22 16.45,eh tapi kalo segitu gue belom tentu bisa nyisihin buat beli pc juga sih.. bisa aja bakalan kalap pesen shopeefood alias Makan Mulu __,negatif
1537367770463020000,16/06/22 16.33,Kadang kalo udh buka shopeefood suka gak sadar diri lagi udh tau duit sedikit tetep ae beli jajan__,negatif
1537367495354770000,16/06/22 16.32,"@SbuxIndonesia Min, mksdnya kalau belanja via shopee food, akan dapat stars jugakah?",netral
1537367444771450000,16/06/22 16.32,"@M45Broo_ Terus yg dibilang formula e ga nyari keuntungan langsung dr tiket tp untuk keuntungan hospitality industry, fnb industry, dll di sekitaran situ ada kabarnya ga? Kali aja para pembalapnya nge go/grab/shopee food di warung2 deket sana.",netral
1537364950603080000,16/06/22 16.22,@peroxideacid Ini aku shopeefood aja Pio random td ____ di ayam kemangi apa gitu namanya wkwk,positif
1537364496028950000,16/06/22 16.20,"duit gua ko tbtb abis ya, perasaan cuma shopee food doang dari kemaren",netral
1537364182454400000,16/06/22 16.19,@shopeefood_id Cabe 3 min gk suka pedas soalnya,netral
1537362853354620000,16/06/22 16.14,@usedtobejade Sy pelanggan pemula shopeefood,positif
1537360631698860000,16/06/22 16.05,shopee food sejam takde order :š),negatif
1537360347291840000,16/06/22 16.04,"Punya teman, suami istri mendaki ke Everest Base Camp (belum sampai puncak sih).. Perjalanan 11 hari, 1 org habis 40-50 juta. 
Yang makan masih nunggu promo Gofood/Grab/Shopeefood minggir dulu deh::.",negatif
1537352812916450000,16/06/22 15.34,"Kak @i_m_mortal_ dan folls, bonus shopeepay yg dapet dari event itu, bisa dipake buat bayar merchant/pulsa/shopeefood? Atau cuman buat beli barang reguler aja?",netral
1537352347818480000,16/06/22 15.32,"@andalasfess fyi nder, mungkin belum tau ya, skrg ada teknologi yg namanya gofood dan shopeefood. kalau dak ngerti pula makenya, Tuhan sudah memberikan kaki utk berjalan, gunakanlah sebaik mungkin__",netral
1537348884871020000,16/06/22 15.18,@bersinhaccim Haha yaudah cus lah shopeefood tak rekomendasikan di mamang ndut,positif
1537348437502720000,16/06/22 15.16,"@_97323 Akan menjadi masukan untuk tim ShopeeFood lebih baik lagi. 
kami akan bantu teruskan ke tim terkait untuk pengecekan lebih lanjut. 1/2",netral
1537346637416190000,16/06/22 15.09,scroll shopeefood kyk dr jam setengah 2 trs begitu udh tau mau makan apa malah ujan deres ____,negatif
1537346004621460000,16/06/22 15.07,location gue ni messed up banget keknya shopeefood sama gojek ngawur terus locationnya kemana mana __ untung drivernya baik terus,netral
1537332035550730000,16/06/22 14.11,@sbtcon belii dr shopeefood/grab cari vocer yang ngepotong banyakk,positif
1537330676315190000,16/06/22 14.06,"@sbtcon beli aja makanan di shopeefood nder, kyk buat porsi sendiri potongannya termasuk guede, paling sering aku pesen ayam geprek 2 pcs+mie di shopeefood cuma 29k ____",positif
1537330106334590000,16/06/22 14.03,Knp box &amp; co cuma ada di gojek sih? Grab shopeefood gaada__,negatif
1537329106353700000,16/06/22 13.59,luv gila shopee food ni dahla banyak voucher free delivery pastu ada voucher kat kedai makan tu jugak ahhh diet tu apa __,positif
1537329016952150000,16/06/22 13.59,@kentoworshipper harus nyibain ih nam mana kl pake shopeefood jd murah 28k only,positif
1537321183460220000,16/06/22 13.28,"@ShopeeID Buat shopeefood, beli pempes sama susu anak __",netral
1537321157422390000,16/06/22 13.28,shopeefood the best lah pokokna __. gofood gk dulu pelit __,positif
1537320483078540000,16/06/22 13.25,Pembelian via shopeefood / grab minimal pembeliannya itu 75k yaww!!! Di Vilo Gelato TOMANG yah jgn cabang lain!! hehehe aman kok gamungkin leleh krn bakal dipack pakai dry ice nya ____ kl mau via ojol boleh dm dulu jgg kokkk,netral
1537316630748800000,16/06/22 13.10,@RissaSaraswati Di jakarta tapi deket depok itu tutup sementara mulu kalo pesen di gojek or shopeefood :( huhu,negatif
1537315876994950000,16/06/22 13.07,"hr ini temen2 kantorku pd penasaran sm shopeefood yg kupesan, trus pas aku izinkan ngicip mereka bilang šah mau beli ah buat bsk siangš",positif
1537314025733710000,16/06/22 13.00,"Kasih tau Mimin pesenan ShopeeFood kamu pakai emoji, nanti Mimin tebak __",netral
1537313101338420000,16/06/22 12.56,"@leehyuckren ENGGAK kunyit asem tuh rasanya asem manis karena isi gula merahnyaaa, enak sih aku personally suka bgt jamu kunyit asem :D coba aja cari di shopee food/gofood mungkin ada deket rumah km dagang jamu",positif
1537312919557350000,16/06/22 12.55,biaya layanan shopee food makin mahal ni gua liat liat,negatif
1537312261756190000,16/06/22 12.52,Bagaimana cara menggubah akun shopee partner Staff menjadi akun shopee partner Admin? Saya pemilik pribadi dr restoran saya. @ShopeeID @shopeefood_id @ShopeeCare,netral
1537312034072560000,16/06/22 12.52,@daisycasket AKU JUGA BARUSAN SHOPEEFOOD AKHXJWHZJAJS.. tapi habis 27k aja sih.. daripada biasa habis 50k..,positif
1537310735646090000,16/06/22 12.46,"Sabar ia lambung, shopeefood sebentar lagi tibaš *pucuk pucuk pucuk __",positif
1537310632424270000,16/06/22 12.46,yg jual voucher gofood/shopeefood sekalian drop fee nya yaa #zonauang,netral
1537307711171600000,16/06/22 12.34,"@areu___1 Nggak, ini punya temenku beli shopee food. Aku ga makan",netral
1537306870503080000,16/06/22 12.31,demi dah gacoan depok tutup mulu di shopeefood gedeg bgt w,negatif
1537306716651390000,16/06/22 12.30,"@mariananoerman @txtdramaojol Bukannya bisa ya? Yg ribet shopeefood, kudu kontak cs",negatif
1537306000369540000,16/06/22 12.28,MALU BGT GUE KIRA SHOPEEFOOD.,negatif
1537305698593550000,16/06/22 12.26,"Shopeefood sekarang biaya lainnya mahal banget, ongkir cuma kepotong dikit, gofood aku ke banded udah 6 bulan ga bisa balik",negatif
1537304413349760000,16/06/22 12.21,"@hanfock @FOOD_FESS iya kalau via shopeefood 16,5k. di aplikasi ada promonya cuma 13k-an kayaknya",netral
1537303589588120000,16/06/22 12.18,"Waktu itu makan masih ngasal pagi indomie siang ayam geprek atau apapun di shopeefood yg promo tidur jam 2-3 pagi bangun jam 9-10 siang kerja senin-sabtu,repeat. Weekend gabut pulang ke rumah, main sm kucing, senin pagi balik lg ke kosan. Ga ada olahraganya.",netral
1537303273446980000,16/06/22 12.17,Ini shopee food kenapa si__,netral
1537300424407270000,16/06/22 12.05,shopee food stress ini gw kaga bisa ngirim chat ke abangnya aaaaaaaaaaaaaaa,negatif
1537299308764010000,16/06/22 12.01,Aku tgh xde mood harini kn pastu shopee food punya seller pulak buat hal mmg kena la rate 1 aku bagi,negatif
1537299267488220000,16/06/22 12.01,"mau vc shopeefood yg pengguna baru (disc 30k) dongg 
#zonauang #zonaba #ShopeeFood",netral
1537296914966000000,16/06/22 11.52,"@cielpurin AKU BARUSAN BELI SHOPEEFOOD WAHAHAHAHAHAHA, dasar manusia",positif
1537294808477480000,16/06/22 11.43,"Shopeefood ni jadi macam FoodPanda la. Dulu masa awai2 punya banyak voucher nanti bagi, tunggu la 2-3 bulan semua harga dia nanti bagi naik.",negatif
1537294719243340000,16/06/22 11.43,@satriacancan Shopee food wkwk,netral
1537293463947220000,16/06/22 11.38,pake indosat + buka shopeefood = zonk,negatif
1537293369525030000,16/06/22 11.37,@bammerstuck info: shopeefood ada diskon partner tertentu____,netral
1537292923221720000,16/06/22 11.36,@shopeefood_id app shopee lgi down apa gimana? Gabisa dibuka muter2 mulu ini mau nyari makan,negatif
1537292400174870000,16/06/22 11.34,"mereka collab nya sama gofood, akunya pake shopee food__",netral
1537291908786990000,16/06/22 11.32,untung gak pernah nge g*food. Shopeefood lebih okeh __,positif
1537290652861530000,16/06/22 11.27,"its/ saran jajanan di shopee food dong, makasih",netral
1537290430659740000,16/06/22 11.26,"disuruh gofood aja, tp gue sesekali pake gofood, seringnya shopeefood__",positif
1537287998038900000,16/06/22 11.16,"@senjamanjaaa hai kak, maaf udh bwt km ga nyaman, terkait kendala km Shopee Xpress dan Shopee Food, mimin bntu info ya kak. (1/2)",negatif
1537287060536450000,16/06/22 11.12,Lagi satu jimat terok ye pakai shopee food ni ! Try beli nasi ayam n ribena laici lepas tu guna voucher bagai kena bayar Rm4 ja,negatif
1537286818953020000,16/06/22 11.11,Serius nanya. Abang grabfood gofood shopeefood dll kalo ujan deres diorderin makan tuh malah seneng ato malah mager sih?,netral
1537286590640190000,16/06/22 11.10,First time order pakai shopee food ni.. Harap makanan aku sampai dengan jayanya __,positif
1537283033757150000,16/06/22 10.56,"Aku tak fahamlah. Kenapa orang lain order shopeefood / grabfood, rider tu naik atas hantar. Kalau aku order, aku yang kena turun?",negatif
1537282573268730000,16/06/22 10.55,oyi mas2 lek doimu jektas lulus kuliah trs dadi driver shopeefood isin ga?,netral
1537279673779880000,16/06/22 10.43,"Aku rasa nak minum kopi, so aku order 1 air Kee Nguyen thru Shopeefood. Harap brader delivery tu tak record post kat tiktok la. Tiber.",netral
1537278684000030000,16/06/22 10.39,@AinulTajul Kalau aku jadi intern aku tekan Shopee Food je,positif
1537278452188860000,16/06/22 10.38,Bete bgt mana lg order shopeefood lg hzzz,netral
1537272875060970000,16/06/22 10.16,"@oktrulink Shopeefood seh pas iku
Sampe akhir juni lak gak salah",netral
1537271224048360000,16/06/22 10.09,@maarlbublee Yg di Jamal itu jg baru ga sih kakk tbtb muncul di shopeefood,netral
1537270670572130000,16/06/22 10.07,"Customer Shopeefood kebanyakan Customer Promoan ajah belagu anjing, kalo gak ada promoan mana asa yang pesan makanan dari Shopeefood, tapi tengil2 kelakuannya kayak anjing dikit2 main lapor dan laporannya gak sesuai fakta",negatif
1537270397866890000,16/06/22 10.06,"Shopeefood kontol kebanyakan aturan Customernya Shopeefood juga kayak anjing, dikit2 main lapor, segitu gua udah pake atribut lengkap tapi masih dilaporin kalo gua gak pake atribut lengkap sampe gua kena peringatan di aplikasi",negatif
1537269908794680000,16/06/22 10.04,Pesen shopeefood malah ketiduran. GG geming,negatif
1537268805356790000,16/06/22 10.00,"Shopeefood ini agak aneh ya. Udah nungguin lama2 ternyata orderan dibatalin minta berantem apa gimana? Sekali kulupakan, duakali kudiam, tigakali aku harus spik ap.",negatif
1537266192590570000,16/06/22 09.49,@sweetynightxx Shopeefood sekarang emang pelit banget,negatif
1537263676087890000,16/06/22 09.39,udah sejam ngescroll gofood &amp; shopeefood bingung mau makan apa,negatif
1537263513361520000,16/06/22 09.39,"Baru jam 9 tp yg dibicarain udah mau makan siang apa, shopeefood apa ke capil, apa keluar aja",netral
1537263030542960000,16/06/22 09.37,@hugjolly shopeefood biasanya,netral
1537262497459150000,16/06/22 09.35,"@hugjolly gofood klo ada vc, shopeefood tergantung disc nya",netral
1537262020973670000,16/06/22 09.33,"Gofood, grabfood, shopeefood mana yang lebih murah?",netral
1537256535146890000,16/06/22 09.11,"paling ngerasa bersalah tu waktu mama minta ajarin pake shopee food, pake virtual bg zoom, pake gosend, pake tiktok, terus aku jelasin nya ga sabaran dan ngegas__",negatif
1537253476446530000,16/06/22 08.59,Kenapa ya kalo kirim chat ke shopeefood driver lama banget terkirimnya?,negatif
1537253261777830000,16/06/22 08.58,baru tau shopeefood bisa liat ulasan dan komentar pembeli__,positif
1537249805440720000,16/06/22 08.44,oiya shopeefood aja,netral
1537247139138420000,16/06/22 08.34,@AqmalAlex Belum tersedia di shopeefood ya?,netral
1537246631342800000,16/06/22 08.32,APA COBA MAKSUDNYA GOFOOD MILIH SHOPEEFOOD SI GOBLOK ANYING SIA,negatif
1537244109253260000,16/06/22 08.22,shopeefood kenapa jadi berat bet dh,negatif
1537243207607940000,16/06/22 08.18,ni shopeefood error ap gmn dh,negatif
1537234004247610000,16/06/22 07.42,@shopeefood_id Sedihnya ke ubun2,negatif
1537223682178720000,16/06/22 07.01,"Niatnya scroll grab/gojek/shopee food buat cari makan, ujung-ujungnya mah beli makan deket kantor lagi __",negatif
1537215571636670000,16/06/22 06.28,shopeefood lemot bgt deh..,negatif
1537208042168910000,16/06/22 05.58,"Kebodohan hidup, kmrn shopeefood w ga double check alamat taunya au ke alamat sapa dah mapsnya hahahaha rezeki bapa drivernya, karna w malu kl nyuruh anterin k alamat yg bener __",negatif
1537140855014050000,16/06/22 01.31,@nicolbers Kapan sih order shopee food yag nganterin ganteng. Sekalian sama minta nomor WA sih. Wkwkwk,positif
1537136094684120000,16/06/22 01.12,"ini teh srius gaada yg shopeefood in apa ya WKWKWKWKW
laper tp gada uang anjrit bwt mkn elah",negatif
1537128297489780000,16/06/22 00.41,@jembermfs hotang yametekudasai jelas. lokasinya di gunung batu. ada di grab dan shopeefood,positif
1537122534038000000,16/06/22 00.19,"@remukankukis @undipmenfess Ga tau lokasinya, aku pernah belinya lewat shopeefood soal e wkwkwk",netral
1537117753739340000,16/06/22 00.00,@panggilankuRan Mjb klo mesen nya lewat delivery online kek Shopee food bisa ga si mesen kek gni? __,netral
1537116799783040000,15/06/22 23.56,"padahal tadi laper lagi buka shopee food, eh ketiduran yaudah ilang lapernya wkwk",netral
1537116508697960000,15/06/22 23.55,"liat history shopeefood, ternyata udah sebulan ga mam seblak",negatif
1537115206576310000,15/06/22 23.49,"ni enak sieh kek seger fruity fruity lgbt__ gadeng, ni kek apa ya gatau bingung pokoknya buah buahan bgt, enak sih cream cheesenya jg enak bgt gak manis kayak kebanyakan cream cheese gt, dan ada stroberi beneran______
tapi sizenya cuma ada 1 &amp; kecil anjg 31rebu di shopeefood
9/10",positif
1537109732300690000,15/06/22 23.28,"Shopee food tidak sehebat gojek ah,
Baca maps nya ga jago __

Masa gw harus ngarahin lg -_-",negatif
1537109121270350000,15/06/22 23.25,"Semenjak tau shopeefood lebih murah, jadi order disitu terus____",positif
1537108631350460000,15/06/22 23.23,Tolong dibantu admin @ShopeeCare @ShopeeID @shopeefood_id,netral
1537107942427680000,15/06/22 23.21,"@ShopeeCare @ShopeeID @shopeefood_id haloo admin, mohon maaf menganggu. Sy ingin bertanya, bisakah akun shopee partner Staff diubah menjadi akun shopee partner Admin? 
Saya dlu daftar shopee partner mandiri, sejak dulu login menggunakan username yg sudah dikirim lewat email.",netral
1537107189751370000,15/06/22 23.18,@WYeahyeah Kaaak bisa cancel ucapannya gak dan ganti yg lain... Mon maap nih di kota aku nggak ada shopee food ________,negatif
1537106459724380000,15/06/22 23.15,kebiasaan banget beli makan lewat shopeefood minumannya selalu ga kebawa :),negatif
1537104209216100000,15/06/22 23.06,@avelicaan @shopeefood_id mgkn dia lelah bestie __blm disemangatin sm ayang,negatif
1537103937043860000,15/06/22 23.05,"@yoann_deka @shopeefood_id nah iyaaa mba, atittude kerjanya ga ada blaaasssss __",negatif
1537103637922480000,15/06/22 23.03,"@avelicaan @shopeefood_id tapi parah sih itu, sampe pake bhasa jawa koyo chat ro koncone __",negatif
1537103359488190000,15/06/22 23.02,"@yoann_deka @shopeefood_id biasanya pake si ijo tp krn lg ada promo pake sopifud deh, lah kebanjiran orderan malah jd galak kan takut wkwkwk",negatif
1537102895354500000,15/06/22 23.01,@avelicaan @shopeefood_id tetep lebih percaya sm si ijo sih kalo aku __,negatif
1537101302110430000,15/06/22 22.54,Ini shopeefood kenapa cobaaa gabisa__,negatif
1537099861111080000,15/06/22 22.48,Shopee food error di saat aku ngelihhhhhhh__,negatif
1537099071638630000,15/06/22 22.45,"@reizdendy iyaa bener, aku aja bacanya capee pantun terus wkwk 
drivernya shopeefood __",negatif
1537098490115160000,15/06/22 22.43,@nighticematcha bisaaa tapi nasgor yg biasa aku pesen itu pesennya di shopeefood trs aku lupa namanya:(,negatif
1537094886352390000,15/06/22 22.29,"Terima kasih Shopee Food udah nemenin peejalanan gue sebulan ini. Hasil yang lumayan, tapi ya mau gimana lagi masih gagal. Haha.
Yah barangnya pun bakal gua simpen sebagai kenang2an. Haha.",positif
1537094753606520000,15/06/22 22.28,Shopee kalian error gk sih? gw dr td mau pesen makan gk bisa. Curiga gara_ td ada problem sm shopeefood gw trus jdnya error begini pdhl salah drivernya shopee nya yg gk pickup_ makanan gw.,negatif
1537093246463230000,15/06/22 22.22,"Kangen order shopeefood, gofood, grabfood. Dirumah mana pernahhh",positif
1537092696799510000,15/06/22 22.20,jam segini mo shopeefood mager keluar kamar trus buka pintu abis itu buka pagernya __,positif
1537090073711110000,15/06/22 22.10,"@Chiebimaru iyaaa biasanya juga aku beli di shopeefood, tapi besok aja deh soalnya udah malemmm",positif
1537089657548120000,15/06/22 22.08,@melbourin BELI LEWAT SHOPEEFOOD AJAA murmer,positif
1537087689333170000,15/06/22 22.00,@sexiesperson aku nerima gofood sama shopeefood kok yangg,positif
1537082956543450000,15/06/22 21.41,"Ini gak ada yang mau ngajak nyari makan gitu wkwk, btw di shopee food buat makan malam enak nya apa ya",negatif
1537080552217380000,15/06/22 21.32,"Moots yang punya shopee, tolong check shopee food kalian dong, bisa dibuka enggak?",netral
1537077657979870000,15/06/22 21.20,Shopee food lagi error ya?? Kok gabisa di buka terus,negatif
1537077622588720000,15/06/22 21.20,Shopee food kenapa error yah. Chat ke driver lama terkirim,negatif
1537076925679620000,15/06/22 21.17,bodoh punya shopeefood,negatif
1537076150027300000,15/06/22 21.14,@aenatomi gajadi beli td di shopeefood tutup kyknya besok ato mingdep aja,negatif
1537075823521330000,15/06/22 21.13,hilang mood nak makan mcd sebab tunggu shopeefood sejam tak sampai sampai,negatif
1537075151443200000,15/06/22 21.10,@Rezapratama_30 @shopeefood_id om jawab om @shopeefood_id,netral
1537074336787400000,15/06/22 21.07,dah sejam tunggu shopeefood tak sampai sampai driver taknak reply chat pulaktu,negatif
1537074240121240000,15/06/22 21.07,kalo gaji udah cair gini boleh bgt kan shopeefood HAHAHAHAHQQQ,positif
